mention_id,mention_date,period_key,snapshot_target_date,snapshot_resolved_date,snapshot_offset_days,mention_to_snapshot_days,snapshot_resolution,tranco_list_id,tranco_list_created_on,domain,matched_domain,match_type,tranco_rank_at_date,reach_score_at_date,reach_percentile_at_date,reach_tier_at_date,outlet,country,canonical_publication_id,canonical_publication_title,mention_title,mention_url
2026-02-16_mentions_10.1093_sysbio.syx064__81,2017-09-21T16:47:35,2017-Q3,2017-08-15,,,,unresolved,,,upi.com,,unmatched,0,0.0,0.0,unranked,UPI.com,United States,pub_012,Genomic Signature of an Avian Lilliput Effect across the K-Pg Extinction,Study: Dinosaur-killing asteroid accelerated bird evolution,https://www.upi.com/Science_News/2017/09/21/Study-Dinosaur-killing-asteroid-accelerated-bird-evolution/8111506008932/
2026-02-16_mentions_10.1093_sysbio.syx064__80,2017-09-21T17:00:22,2017-Q3,2017-08-15,,,,unresolved,,,breitbart.com,,unmatched,0,0.0,0.0,unranked,Breitbart News Network,United States,pub_012,Genomic Signature of an Avian Lilliput Effect across the K-Pg Extinction,Study: Dinosaur-killing asteroid accelerated bird evolution,http://www.breitbart.com/news/study-dinosaur-killing-asteroid-accelerated-bird-evolution/
2026-02-16_mentions_10.1093_sysbio.syx064__79,2017-09-22T05:30:14,2017-Q3,2017-08-15,,,,unresolved,,,feedproxy.google.com,,unmatched,0,0.0,0.0,unranked,Technology.org,United States,pub_012,Genomic Signature of an Avian Lilliput Effect across the K-Pg Extinction,Dino-killing asteroid sped up bird evolution,http://feedproxy.google.com/~r/TechnologyOrg/~3/q6b3I3XpwRc/
2026-02-16_mentions_10.1093_sysbio.syx064__76,2017-09-22T10:46:25,2017-Q3,2017-08-15,,,,unresolved,,,feedproxy.google.com,,unmatched,0,0.0,0.0,unranked,Sci-News,United States,pub_012,Genomic Signature of an Avian Lilliput Effect across the K-Pg Extinction,"Dino-Killing Mass Extinction Boosted Bird Evolution, Study Says | Paleontology | Sci-News.com",http://feedproxy.google.com/~r/BreakingScienceNews/~3/8vziJSr9eFc/dino-killing-mass-extinction-bird-evolution-05249.html
2026-02-16_mentions_10.1093_sysbio.syx064__77,2017-09-22T10:46:25,2017-Q3,2017-08-15,,,,unresolved,,,sci-news.com,,unmatched,0,0.0,0.0,unranked,Sci-News,United States,pub_012,Genomic Signature of an Avian Lilliput Effect across the K-Pg Extinction,"Dino-Killing Mass Extinction Boosted Bird Evolution, Study Says | Paleontology | Sci-News.com",http://www.sci-news.com/paleontology/dino-killing-mass-extinction-bird-evolution-05249.html?alm_mvr=0
2026-02-16_mentions_10.1093_sysbio.syx064__75,2017-09-22T13:37:02,2017-Q3,2017-08-15,,,,unresolved,,,laboratoryequipment.com,,unmatched,0,0.0,0.0,unranked,Laboratory Equipment,United States,pub_012,Genomic Signature of an Avian Lilliput Effect across the K-Pg Extinction,Dino-killing Asteroid's Impact on Bird Evolution,http://www.laboratoryequipment.com/news/2017/09/dino-killing-asteroids-impact-bird-evolution
2026-02-16_mentions_10.1093_sysbio.syx064__74,2017-09-22T15:40:00,2017-Q3,2017-08-15,,,,unresolved,,,sciencenewsline.com,,unmatched,0,0.0,0.0,unranked,Science Newsline,Japan,pub_012,Genomic Signature of an Avian Lilliput Effect across the K-Pg Extinction,Dino-killing Asteroid's Impact on Bird Evolution,http://www.sciencenewsline.com/news/2017092215400012.html
2026-02-16_mentions_10.1093_sysbio.syx064__73,2017-09-24T13:05:46,2017-Q3,2017-08-15,,,,unresolved,,,astrobio.net,,unmatched,0,0.0,0.0,unranked,Astrobiology Magazine,United States,pub_012,Genomic Signature of an Avian Lilliput Effect across the K-Pg Extinction,Dino-killing asteroid’s impact on bird evolution,https://www.astrobio.net/also-in-news/dino-killing-asteroids-impact-bird-evolution/
2026-02-16_mentions_10.1093_sysbio.syx064__72,2017-09-25T13:37:02,2017-Q3,2017-08-15,,,,unresolved,,,futurity.org,,unmatched,0,0.0,0.0,unranked,Futurity,United States,pub_012,Genomic Signature of an Avian Lilliput Effect across the K-Pg Extinction,Meteor that killed dinos may have sped up bird evolution - Futurity,http://www.futurity.org/dinosaur-extinction-birds-evolution-1553422/
2026-02-16_mentions_10.1038_nature19417__6,2018-04-20T15:05:28,2018-Q2,2018-05-15,,,,unresolved,,,smithsonianmag.com,,unmatched,0,0.0,0.0,unranked,Smithsonian Magazine,United States,pub_002,A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing,What We Can Learn From a New Bird Tree of Life,https://www.smithsonianmag.com/science-nature/what-we-can-learn-new-bird-tree-life-180968849/
2026-02-16_mentions_10.1016_j.cub.2018.04.062__392,2018-05-24T00:00:00,2018-Q2,2018-05-15,,,,unresolved,,,actionnewsnow.com,,unmatched,0,0.0,0.0,unranked,Action News Now,United States,pub_007,Early Evolution of Modern Birds Structured by Global Forest Collapse at the End-Cretaceous Mass Extinction,These were the unlikely survivors after dinosaurs went extinct,http://www.actionnewsnow.com/content/national/483615341.html?ref=341
2026-02-16_mentions_10.1016_j.cub.2018.04.062__390,2018-05-24T04:00:00,2018-Q2,2018-05-15,,,,unresolved,,,eurekalert.org,,unmatched,0,0.0,0.0,unranked,EurekAlert!,United States,pub_007,Early Evolution of Modern Birds Structured by Global Forest Collapse at the End-Cretaceous Mass Extinction,"When the dinosaurs died, so did forests -- and tree-dwelling birds",https://www.eurekalert.org/pub_releases/2018-05/fm-wtd051718.php
2026-02-16_mentions_10.1016_j.cub.2018.04.062__391,2018-05-24T04:00:00,2018-Q2,2018-05-15,,,,unresolved,,,eurekalert.org,,unmatched,0,0.0,0.0,unranked,EurekAlert!,United States,pub_007,Early Evolution of Modern Birds Structured by Global Forest Collapse at the End-Cretaceous Mass Extinction,What the asteroid that wiped out dinosaurs meant for birds,https://www.eurekalert.org/pub_releases/2018-05/cp-wta051718.php
2026-02-16_mentions_10.1016_j.cub.2018.04.062__389,2018-05-24T11:00:00,2018-Q2,2018-05-15,,,,unresolved,,,theatlantic.com,,unmatched,0,0.0,0.0,unranked,The Atlantic,United States,pub_007,Early Evolution of Modern Birds Structured by Global Forest Collapse at the End-Cretaceous Mass Extinction,The Asteroid That Smote the Dinosaurs Burned the Birds Out of Trees,https://www.theatlantic.com/science/archive/2018/05/dinosaurs-asteroids-goodbye-birds-trees/561110/
2026-02-16_mentions_10.1016_j.cub.2018.04.062__388,2018-05-24T14:56:05,2018-Q2,2018-05-15,,,,unresolved,,,insidescience.org,,unmatched,0,0.0,0.0,unranked,Inside Science,United States,pub_007,Early Evolution of Modern Birds Structured by Global Forest Collapse at the End-Cretaceous Mass Extinction,BRIEF: First Tree-Dwelling Birds Died with the Dinosaurs,https://www.insidescience.org/news/brief-first-tree-dwelling-birds-died-dinosaurs
2026-02-16_mentions_10.1016_j.cub.2018.04.062__383,2018-05-24T15:00:00,2018-Q2,2018-05-15,,,,unresolved,,,elconfidencial.com,,unmatched,0,0.0,0.0,unranked,El Confidencial,Spain,pub_007,Early Evolution of Modern Birds Structured by Global Forest Collapse at the End-Cretaceous Mass Extinction,Así sobrevivieron estos pájaros al temible meteorito que acabó con los dinosaurios,https://www.elconfidencial.com/tecnologia/ciencia/2018-05-24/meteorito-dinosaurios-aves-bosque-estudio_1568454/
2026-02-16_mentions_10.1016_j.cub.2018.04.062__384,2018-05-24T15:00:00,2018-Q2,2018-05-15,,,,unresolved,,,uk.news.yahoo.com,,unmatched,0,0.0,0.0,unranked,Yahoo! News,United States,pub_007,Early Evolution of Modern Birds Structured by Global Forest Collapse at the End-Cretaceous Mass Extinction,"Only flightless birds survived dinosaur meteor strike, scientists believe",https://uk.news.yahoo.com/only-flightless-birds-survived-dinosaur-150000701.html
2026-02-16_mentions_10.1016_j.cub.2018.04.062__385,2018-05-24T15:00:00,2018-Q2,2018-05-15,,,,unresolved,,,irishexaminer.com,,unmatched,0,0.0,0.0,unranked,Irish Examiner,Ireland,pub_007,Early Evolution of Modern Birds Structured by Global Forest Collapse at the End-Cretaceous Mass Extinction,"Only flightless birds survived dinosaur meteor strike, scientists believe",https://www.irishexaminer.com/breakingnews/world/only-flightless-birds-survived-dinosaur-meteor-strike-scientists-believe-844914.html
2026-02-16_mentions_10.1016_j.cub.2018.04.062__387,2018-05-24T15:00:00,2018-Q2,2018-05-15,,,,unresolved,,,inverse.com,,unmatched,0,0.0,0.0,unranked,Inverse,United States,pub_007,Early Evolution of Modern Birds Structured by Global Forest Collapse at the End-Cretaceous Mass Extinction,The Asteroid That Obliterated the Dinosaurs Couldn't Kill These Lucky Birds,https://www.inverse.com/article/45178-dinosaurs-birds-descendants-asteroid-extinction
2026-02-16_mentions_10.1016_j.cub.2018.04.062__382,2018-05-24T15:00:02,2018-Q2,2018-05-15,,,,unresolved,,,ibtimes.com,,unmatched,0,0.0,0.0,unranked,International Business Times,United States,pub_007,Early Evolution of Modern Birds Structured by Global Forest Collapse at the End-Cretaceous Mass Extinction,Arboreal Birds Died Alongside Dinosaurs And Trees In Chicxulub Asteroid Strike’s Aftermath,http://www.ibtimes.com/arboreal-birds-died-alongside-dinosaurs-trees-chicxulub-asteroid-strikes-aftermath-2684115
2026-02-16_mentions_10.1016_j.cub.2018.04.062__381,2018-05-24T15:00:15,2018-Q2,2018-05-15,,,,unresolved,,,blogs.discovermagazine.com,,unmatched,0,0.0,0.0,unranked,Discover Magazine,United States,pub_007,Early Evolution of Modern Birds Structured by Global Forest Collapse at the End-Cretaceous Mass Extinction,"Dinosaur Doom Almost Wiped Birds Out, Too - Dead Things",http://blogs.discovermagazine.com/deadthings/?p=2306
2026-02-16_mentions_10.1016_j.cub.2018.04.062__378,2018-05-24T15:00:37,2018-Q2,2018-05-15,,,,unresolved,,,wissenschaft.de,,unmatched,0,0.0,0.0,unranked,wissenschaft.de,Germany,pub_007,Early Evolution of Modern Birds Structured by Global Forest Collapse at the End-Cretaceous Mass Extinction,Kreidezeit-Inferno: Was geschah mit den Vögeln? - wissenschaft.de,https://www.wissenschaft.de/umwelt-natur/kreidezeit-inferno-was-geschah-mit-den-voegeln/
2026-02-16_mentions_10.1016_j.cub.2018.04.062__377,2018-05-24T15:02:00,2018-Q2,2018-05-15,,,,unresolved,,,azfamily.com,,unmatched,0,0.0,0.0,unranked,azfamily.com,United States,pub_007,Early Evolution of Modern Birds Structured by Global Forest Collapse at the End-Cretaceous Mass Extinction,These were the unlikely survivors after dinosaurs went extinct,http://www.azfamily.com/story/38259863/these-were-the-unlikely-survivors-after-dinosaurs-went-extinct
2026-02-16_mentions_10.1016_j.cub.2018.04.062__373,2018-05-24T15:03:52,2018-Q2,2018-05-15,,,,unresolved,,,cnn.com,,unmatched,0,0.0,0.0,unranked,CNN News,United States,pub_007,Early Evolution of Modern Birds Structured by Global Forest Collapse at the End-Cretaceous Mass Extinction,These were the unlikely survivors after dinosaurs went extinct,https://www.cnn.com/2018/05/24/world/birds-dinosaur-extinction-asteroid-event-study/index.html
2026-02-16_mentions_10.1016_j.cub.2018.04.062__372,2018-05-24T15:05:00,2018-Q2,2018-05-15,,,,unresolved,,,sciencemag.org,,unmatched,0,0.0,0.0,unranked,Science/AAAS,United States,pub_007,Early Evolution of Modern Birds Structured by Global Forest Collapse at the End-Cretaceous Mass Extinction,Quaillike creatures were the only birds to survive the dinosaur-killing asteroid impact,http://www.sciencemag.org/news/2018/05/quaillike-creature-was-only-bird-survive-dinosaur-killing-asteroid-impact
2026-02-16_mentions_10.1016_j.cub.2018.04.062__371,2018-05-24T15:08:08,2018-Q2,2018-05-15,,,,unresolved,,,theconversation.com,,unmatched,0,0.0,0.0,unranked,The Conversation,Australia,pub_007,Early Evolution of Modern Birds Structured by Global Forest Collapse at the End-Cretaceous Mass Extinction,How birds survived the dinosaur-killing asteroid,http://theconversation.com/how-birds-survived-the-dinosaur-killing-asteroid-97021
