Mention Type,Mention Date,Outlet or Author,Mention Title,Country,External Mention ID,Mention URL,Sentiment Analysis,Research Output Title,Journal/Collection Title,Authors at my Institution,Departments,Output Type,Subjects (FoR),Affiliations (GRID),Publication Date,Altmetric Attention Score,Details Page URL,DOI,ISBN,National Clinical Trial ID,URI,PubMed ID,PubMedCentral ID,Handle.net IDs,ADS Bibcode,arXiv ID,RePEc ID,SSRN,URN,Publisher Names
Wikipedia page,2019-12-04 22:54:47,,"Pompadour cotinga",,"",http://en.wikipedia.org/?diff=prev&oldid=929303137#altmetric_citation_0108acfb-0796-4ad9-9339-ae48486b10a5,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
X Post,"","176038442","","",624863301374210048,"",Positive,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
X Post,"","35304791","","",624770098625024000,"",,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Wikipedia page,2015-04-27 13:56:31,,"Phibalura",,"",http://fr.wikipedia.org/?diff=prev&oldid=114519999#altmetric_citation_0,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Wikipedia page,2015-04-27 13:55:14,,"Phibalure à queue fourchue",,"",http://fr.wikipedia.org/?diff=prev&oldid=114519952#altmetric_citation_0,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Facebook post,2015-02-07 04:46:13,"BioLounge","New-World Wildlife & #Birding | America & Neotropical",,"",https://www.facebook.com/662856273811064/posts/768328923263798,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Facebook post,2015-01-27 15:42:25,"Edna Maria Kuller","New-World Wildlife & #Birding | America & Neotropical",,"",https://www.facebook.com/100007444059244/posts/1540272412897546,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Facebook post,2015-01-25 01:44:55,"Orestes Batista Minigildo Filho","New-World Wildlife & #Birding | America & Neotropical",,"",https://www.facebook.com/100007405932446/posts/1566794530244063,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
X Post,"","2194685670","","",557201973125328897,"",Positive,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Google+ post,2014-12-31 17:06:43,"Nicolás Diez","Berv, J.S. & Prum, R.O. (2014) A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae...",,"",https://plus.google.com/104301904461877588678/posts/GgGCQpn6ZAe,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
