Mention Type,Mention Date,Outlet or Author,Mention Title,Country,External Mention ID,Mention URL,Sentiment Analysis,Research Output Title,Journal/Collection Title,Authors at my Institution,Departments,Output Type,Subjects (FoR),Affiliations (GRID),Publication Date,Altmetric Attention Score,Details Page URL,DOI,ISBN,National Clinical Trial ID,URI,PubMed ID,PubMedCentral ID,Handle.net IDs,ADS Bibcode,arXiv ID,RePEc ID,SSRN,URN,Publisher Names
X Post,"","2991235011","","",1461084499194695683,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","1224749037733261313","","",1461071256367861761,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","869982661","","",1461069776654983170,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","766378262259986437","","",1461066467902824450,"",Neutral positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","405543136","","",1461060711824736256,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
News story,2021-11-17 19:48:28,"Environmental News Network","There May Be More Bird Species in the Tropics Than We Know",United States,"",https://www.enn.com/articles/69144-there-may-be-more-bird-species-in-the-tropics-than-we-know,,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","1204021507422408706","","",1461054872095182855,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","976984096369991683","","",1461049795620098048,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","1173623155","","",1461045453341003784,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","1938608077","","",1461045436790181889,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
