Mention Type,Mention Date,Outlet or Author,Mention Title,Country,External Mention ID,Mention URL,Sentiment Analysis,Research Output Title,Journal/Collection Title,Authors at my Institution,Departments,Output Type,Subjects (FoR),Affiliations (GRID),Publication Date,Altmetric Attention Score,Details Page URL,DOI,ISBN,National Clinical Trial ID,URI,PubMed ID,PubMedCentral ID,Handle.net IDs,ADS Bibcode,arXiv ID,RePEc ID,SSRN,URN,Publisher Names
News story,2015-02-12 17:11:00,"Technobahn","A New Species of Hummingbird?",United States,"",http://w2.technobahn.com/articles/2015021217110029.html,,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
News story,2015-02-12 17:11:00,"Science Newsline","A New Species of Hummingbird?",Japan,"",http://www.sciencenewsline.com/summary/2015021217110029.html,,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
News story,2015-02-12 12:20:01,"Phys.org","A new species of hummingbird?",United Kingdom,"",http://phys.org/news/2015-02-species-hummingbird.html,,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
Blog post,2015-02-11 22:41:00,"Science Blog","A New Species of Hummingbird?",,"",http://scienceblog.com/76965/new-species-hummingbird/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+scienceblogrssfeed+%28ScienceBlog.com%29,,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
Blog post,2015-02-11 14:23:00,"Futurity","‘Love signals’ suggest new kind of hummingbird",,"",http://www.futurity.org/bahama-woodstar-hummingbird-853592/,,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
News story,2015-02-11 05:00:00,"EurekAlert!","A new species of hummingbird?",United States,"",http://www.eurekalert.org/pub_releases/2015-02/uoc--ans_1021115.php,,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
X Post,"","584030375","","",563379383130271744,"",Neutral positive,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
Facebook post,2015-02-05 15:50:48,"Texas Nature Trackers - Texas Parks and Wildlife Dept Program","Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status...",United States,"",https://www.facebook.com/permalink.php?story_fbid=10153054687678750&id=182339288749,,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
Facebook post,2015-02-05 15:36:30,"Texas Nature Trackers - Texas Parks and Wildlife Dept Program",,United States,"",https://www.facebook.com/permalink.php?story_fbid=10153054664338750&id=182339288749,,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
Facebook post,2015-01-02 20:13:32,"Caribbean Birding Trail","Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status...",United States,"",https://www.facebook.com/186499408064351/posts/767050583342561,,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
Facebook post,2014-12-25 00:27:07,"Gail Woon","Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status...",,"",https://www.facebook.com/642445181/posts/1019562344724413,,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
Facebook post,2014-12-24 13:33:10,"Eric Carey","Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status...",,"",https://www.facebook.com/1409812464/posts/10205533479242242,,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
Facebook post,2014-12-24 04:05:51,"Birds Caribbean","Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status...",,"",https://www.facebook.com/permalink.php?story_fbid=888855374479779&id=113568085341849,,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
X Post,"","1621439503","","",547602066068500481,"",Positive,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
X Post,"","2767552191","","",546766187888390145,"",Neutral,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
X Post,"","62940362","","",546766091050315776,"",Neutral,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
